Line #,Name,Designator,Footprint,JLC_PN,MPN

"","1N5819WS","D4, D12, D13, D18","SODFL250X100-2N","C191023",""
"","2SC3356","Q1, Q2","SOT-23_hongjiacheng__SOT95P240X115-3L","C28646266","2SC3356-T1B-A"
"","0402WGF0000TCE","JP9, R5, R7, R16, R33","RESC1005X04N","C17168",""
"","0402WGF499JTCE","R9, R14","RESC1005X04N","C25120",""
"","0402WGF1000TCE","R8","RESC1005X04N","C25076",""
"","0402WGF1004TCE","R17","RESC1005X04N","C26083","RMCF0402FT1M00"
"","0402WGF1200TCE","R37","RESC1005X04N","C25079","0402WGF1200TCE"
"","0402WGF2702TCE","R11","RESC1005X04N","C25771",""
"","0402WGF5101TCE","R18, R25","RESC1005X04N","C25905",""
"","0402WGF5601TCE","R13","RESC1005X04N","C25908",""
"","0603WAF200JT5E","R15","RESC1608X05N","C22950",""
"","0805W8F1002T5E","R24","RESC2012X05N","C17414",""
"","0805W8F1503T5E","R23","RESC2012X05N","C17470",""
"","0805W8F7500T5E","R2","RESC2012X05N","C17818","0805W8F7500T5E"
"","0805W8F7501T5E","R1","RESC2012X05N","C17807",""
"","AMS1117-3.3","U6","1117_REG_SOT223__SOT230P700X180-4L","C6186","AMS1117-3.3"
"","CL05A105KA5NQNC","C4, C7, C12, C13, C16, C17, C19, C21","CAPC1005X06N","C52923","CL05A105KO5NNNC"
"","CL05A106MQ5NUNC","C10, C20","CAPC1005X06N","C15525","CL05A106MQ5NUNC"
"","CL05B104KB54PNC","C1, C2, C5, C6, C8, C14","CAPC1005X06N","C307331","CL05B104KB54PNC"
"","CL05C100JB5NNNC","C15","CAPC1005X06N","C32949","CL05C100JB5NNNC"
"","CL10A226MQ8NRNC","C11","CAPC1608X10N","C59461","CL10A226MQ8NRNC"
"","CL10A475KO8NNNC","C9, C18","CAPC1608X10N","C19666","CL10A475KO8NNNC"
"","CL21A226MAQNNNE","C22","CAPC2012X14N","C45783","CL21A226MAQNNNE"
"","CRCW0402-10K0FKED","R21, R27, R34, R35, R36","RESC1005X04N","C25744","CRCW040210K0FKEDC"
"","CRCW04021K00FKEDC","R19, R20, R32","RESC1005X04N","C11702","CRCW04021K00FKEDC"
"","CRCW0402100KFKEDC","R22, R26, R28, R38","RESC1005X04N","C25741","WR04X1003FTL"
"","ERJ-3GEYJ270V","R6","RESC1608X05N","C25190","ERJ-3GEYJ270V"
"","GCM1555C1H1R0JA16D","C3","CAPC1005X06N","C1550","0402CG1R0C500NT"
"","H5VU10U","D1, D2, D3, D9, D10, D15, D16, D17","DFN60P100X45-2L","C22395519","H5VU10U"
"","JUMPER-0402 TWO STATE","JP5, JP8, JP10","RESC1005X04N TWO STATE","C17168",""
"","KT-0805G","D14","LED_0805","C2297",""
"","KT-0805Y","D5, D6, D8, D11","LED_0805","C2296","KT-0805Y"
"","MDD2302","Q3, Q4, Q6, Q7","SOT95P252X140-3N","C427390","MDD2302"
"","RB521S30T1G","D19","SODFL160X70-2N","C7502702",""
"","RC0603FR-0747RL","R12","RESC1608X05N","C23182","RC0603FR-0747RL"
"","TPS61040DBVR","U3","DBV0005A_L","C7722","TPS61040DBVR"
"","LMH34400IDRLR","U5","SOTFL50P160X60-6N","C19723951","LMH34400IDRLR"
"","MDD3401","Q5","SOT95P252X140-3N","C427383","MDD3401A"
"","OPA355NA/3K","IC1, IC2","DBV0006A_SOT-23-6_TI__SOT95P280X145-6L","C2058090","OPA355NA/3K"
"","TLV3601DCKR","U4","DCK0005A_SC-70-5_TI_SOT65P210X110-5N","C2974371","TLV3601DCKR"
